numexp,Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,Anisotropie,AMACBIOSYNTHsousexpr,BIOSYNTH_CARRIERSsousexpr,CELLENVELOPEsousexpr,CELLPROCESSESsousexpr,CENTRINTMETABOsousexpr,ENMETABOsousexpr,FATTYACIDMETABOsousexpr,Hypoprotsousexpr,OTHERCATsousexpr,PURINESsousexpr,REGULFUNsousexpr,REPLICATIONsousexpr,TRANSCRIPTIONsousexpr,TRANSLATIONsousexpr,TRANSPORTPROTEINSsousexpr,AMACBIOSYNTHsurexpr,BIOSYNTH_CARRIERSsurexpr,CELLENVELOPEsurexpr,CELLPROCESSESsurexpr,CENTRINTMETABOsurexpr,ENMETABOsurexpr,FATTYACIDMETABOsurexpr,Hypoprotsurexpr,OTHERCATsurexpr,PURINESsurexpr,REGULFUNsurexpr,REPLICATIONsurexpr,TRANSCRIPTIONsurexpr,TRANSLATIONsurexpr,TRANSPORTPROTEINSsurexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre,condition,condition,PopCentri,PopCentri,PopCong,PopCong,PopLyo,PopLyo,PopSto3,PopSto3,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,5,"0,7380352645",0,"0,0050377834","0,0025188917",0,"0,0025188917",0,"0,0025188917",0,0,0,0,0,0,0,0,0,"0,0025188917","0,0050377834",0,"0,0025188917","0,0025188917",0,0,0,"0,0025188917",0,0,"0,0151133501","0,0025188917","0,0050377834",0,"0,0025188917",0,0,"0,0050377834",0,"0,0226700252","0,0025188917","0,0075566751","0,0075566751","0,0176322418",0,"0,0025188917","0,0050377834","0,0025188917","0,0025188917",0,"0,0025188917","0,0050377834","0,0050377834",0,"0,0025188917",0,0,0,0,"0,0025188917","0,0025188917",0,0,0,0,"0,0100755668",0,0,0,0,0,0,0,0,"0,0025188917",0,"0,0025188917",0,"0,0025188917","0,0050377834","0,0025188917",0,0,0,0,"0,0151133501","0,0050377834","0,0025188917",0,0,"0,0050377834",0,0,0,0,0,0,0,0,"0,0025188917",0,"0,0075566751",0,0,0,0,0,0,0,"0,0226700252","0,0050377834","0,0025188917","0,0025188917","0,0025188917","0,0050377834","0,0100755668",0,0
,,,,,,,,,,,,,,,,,,,,,,,6,"0,7669172932",0,"0,015037594","0,007518797",0,0,0,0,0,0,0,0,"0,015037594",0,0,0,"0,007518797","0,007518797",0,0,0,"0,007518797",0,0,0,0,0,0,"0,007518797",0,"0,015037594",0,"0,015037594",0,0,"0,007518797","0,007518797",0,0,"0,015037594","0,007518797","0,022556391",0,0,"0,007518797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,007518797",0,0,"0,022556391",0,0,0,0,0,0,0,0,0,0,0,"0,007518797",0,0,0,0,"0,007518797",0,0,0,0,0,"0,007518797",0,0,0,0,"0,007518797",0,0,0,"0,007518797",0,0,0
,,,,,,,,,,,,,,,,,,,,,,,7,"0,6913461538",0,"0,0096153846",0,"0,0009615385","0,0014423077","0,0004807692",0,"0,0004807692","0,0004807692",0,"0,0019230769","0,0019230769","0,0004807692","0,0009615385","0,0004807692","0,0024038462","0,0009615385","0,0019230769","0,0014423077",0,"0,0028846154","0,0024038462","0,0004807692","0,0009615385","0,0019230769","0,0014423077","0,0004807692","0,0139423077","0,0014423077","0,0019230769","0,0024038462","0,0139423077","0,0004807692","0,0004807692","0,0081730769","0,0057692308","0,0072115385","0,0009615385","0,0100961538","0,0052884615","0,0173076923","0,0004807692","0,0028846154","0,0028846154","0,0009615385","0,0033653846","0,0028846154","0,0105769231","0,0033653846","0,0024038462","0,0004807692",0,"0,0019230769","0,0024038462","0,0004807692","0,0014423077","0,0024038462","0,0028846154","0,0028846154",0,"0,0014423077","0,0004807692","0,0096153846","0,0019230769","0,0009615385","0,0014423077","0,0019230769","0,0004807692","0,0004807692","0,0009615385",0,"0,0004807692","0,0038461538","0,0004807692","0,0004807692","0,0014423077","0,0072115385","0,0009615385","0,0004807692","0,0033653846","0,0009615385","0,0043269231","0,0221153846","0,0057692308","0,0024038462","0,0014423077","0,0004807692","0,0076923077","0,0014423077","0,0009615385","0,0009615385","0,0009615385","0,0004807692","0,0014423077",0,"0,0004807692","0,0028846154","0,0009615385","0,0057692308","0,0009615385","0,0004807692","0,0004807692","0,0028846154","0,0004807692","0,0014423077","0,0024038462","0,0125","0,0009615385","0,0004807692","0,0033653846","0,0004807692","0,0028846154","0,0057692308","0,0019230769","0,0004807692"
,,,,,,,,,,,,,,,,,,,,,,,8,"0,6422594142","0,0006973501","0,0146443515",0,"0,0013947001","0,0006973501",0,0,"0,0006973501",0,"0,0006973501","0,0013947001","0,0006973501",0,0,"0,0006973501","0,0020920502","0,0013947001","0,0013947001","0,0013947001","0,0013947001","0,0020920502","0,0020920502",0,"0,0013947001",0,0,"0,0006973501","0,0167364017","0,0006973501","0,0027894003","0,0034867503","0,0153417015","0,0013947001","0,0013947001","0,010460251","0,0069735007","0,0090655509","0,0020920502","0,010460251","0,0083682008","0,0223152022","0,0006973501","0,0020920502","0,0041841004","0,0006973501","0,0048814505","0,0013947001","0,0153417015","0,0034867503","0,0027894003",0,"0,0006973501",0,"0,0027894003","0,0006973501","0,0013947001","0,0034867503","0,0034867503","0,0034867503",0,"0,0020920502","0,0006973501","0,0111576011","0,0013947001","0,0006973501","0,0006973501","0,0013947001","0,0006973501","0,0006973501","0,0013947001",0,"0,0006973501","0,0020920502","0,0006973501",0,"0,0013947001","0,0027894003","0,0006973501","0,0006973501","0,0027894003",0,"0,0034867503","0,0306834031","0,0048814505","0,0027894003","0,0027894003","0,0006973501","0,0125523013","0,0013947001","0,0013947001","0,0020920502","0,0013947001","0,0006973501","0,0006973501",0,"0,0013947001","0,0041841004","0,0013947001","0,0055788006","0,0013947001","0,0006973501",0,"0,0027894003","0,0006973501","0,0006973501","0,0020920502","0,0153417015","0,0020920502","0,0006973501","0,0048814505","0,0013947001","0,0020920502","0,0090655509","0,0034867503","0,0006973501"
,,,,,,,,,,,,,,,,,,,,,,,9,"0,7202572347",0,"0,0096463023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0064308682",0,0,"0,0032154341","0,0032154341",0,0,"0,0032154341",0,0,"0,0064308682","0,0032154341",0,0,"0,0096463023",0,0,"0,0128617363","0,0032154341","0,0160771704",0,"0,0064308682",0,"0,0418006431",0,0,"0,0064308682",0,0,0,"0,0064308682","0,0032154341",0,0,0,0,0,0,0,"0,0032154341","0,0032154341",0,0,0,"0,0032154341","0,0064308682",0,0,0,0,0,0,0,0,0,0,0,0,"0,0032154341",0,"0,0032154341",0,0,0,0,"0,0160771704","0,0064308682","0,0032154341",0,0,"0,0096463023",0,0,0,0,0,0,0,0,"0,0032154341",0,"0,0032154341",0,0,0,0,0,0,0,"0,0225080386","0,0064308682","0,0032154341","0,0032154341","0,0032154341","0,0096463023","0,0128617363","0,0128617363",0
,,,,,,,,,,,,,,,,,,,,,,,10,"0,8655462185",0,"0,0168067227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0084033613",0,0,0,0,0,0,0,"0,0084033613",0,0,0,0,0,0,"0,0084033613",0,"0,0084033613",0,"0,0084033613",0,0,0,0,"0,0336134454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0084033613",0,0,0,0,0,0,0,0,"0,0084033613",0,0,0,0,0,"0,0084033613",0,0,0,0,"0,0084033613",0,0,0,"0,0084033613",0,0,0
,,,,,,,,,,,,,,,,,,,,,,,11,"0,7540983607",0,"0,0081967213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0163934426",0,0,0,0,0,0,"0,0081967213",0,0,0,"0,0081967213","0,0245901639",0,0,0,0,"0,0081967213",0,"0,0327868852",0,0,"0,0081967213","0,0081967213",0,0,"0,0081967213",0,0,0,"0,0081967213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0081967213",0,0,0,0,"0,0163934426","0,0163934426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0081967213",0,"0,0081967213","0,0081967213","0,0081967213","0,0327868852",0,0
,,,,,,,,,,,,,,,,,,,,,,,12,"0,7173913043",0,0,0,0,0,0,0,0,0,0,0,"0,0217391304",0,0,0,0,0,0,0,0,"0,0108695652",0,0,0,0,0,0,"0,0108695652",0,"0,0217391304",0,"0,0217391304",0,0,0,"0,0108695652",0,0,"0,0217391304","0,0108695652","0,0434782609",0,0,"0,0108695652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0108695652",0,0,"0,0326086957",0,0,0,0,0,0,0,0,0,0,0,"0,0108695652",0,0,0,0,"0,0217391304",0,0,0,0,0,"0,0108695652",0,0,0,0,0,0,0,0,"0,0108695652",0,0,0
,,,,,,,,,,,,,,,,,,,,,,,13,"0,7070707071",0,"0,0185185185",0,0,"0,0016835017",0,0,0,0,0,0,"0,0016835017",0,0,"0,0016835017","0,0016835017","0,0016835017",0,"0,0033670034","0,0016835017","0,0033670034","0,0016835017",0,"0,0016835017",0,0,0,"0,0050505051","0,0016835017","0,0033670034","0,0067340067","0,0151515152",0,"0,0016835017","0,0050505051","0,0033670034","0,0016835017",0,"0,0050505051","0,0067340067","0,0404040404",0,0,"0,0033670034",0,"0,0033670034",0,"0,0050505051",0,"0,0016835017",0,0,"0,0016835017","0,0016835017",0,0,"0,0033670034",0,0,0,"0,0016835017",0,"0,0185185185",0,"0,0016835017",0,"0,0016835017",0,0,"0,0016835017",0,0,0,0,0,"0,0016835017","0,0033670034",0,0,"0,0016835017","0,0016835017",0,"0,031986532","0,0016835017","0,0016835017","0,0016835017","0,0016835017","0,0067340067",0,"0,0016835017","0,0050505051",0,"0,0016835017",0,0,0,"0,0067340067",0,"0,0016835017","0,0016835017",0,0,"0,0033670034","0,0016835017","0,0016835017",0,"0,0151515152","0,0016835017",0,"0,0016835017",0,"0,0016835017","0,0067340067","0,0067340067",0
,,,,,,,,,,,,,,,,,,,,,,,14,"0,7139874739",0,"0,0146137787",0,0,"0,0020876827",0,0,0,0,0,0,0,0,0,"0,0020876827","0,0020876827","0,0020876827",0,"0,0020876827","0,0020876827","0,0041753653","0,0020876827",0,"0,0020876827",0,0,0,"0,012526096",0,"0,0020876827","0,006263048","0,012526096",0,0,"0,006263048","0,0041753653","0,0020876827",0,"0,0083507307","0,006263048","0,0438413361",0,0,"0,0020876827",0,0,0,"0,006263048",0,"0,0020876827",0,0,"0,0020876827","0,0020876827",0,0,"0,006263048",0,0,0,"0,0020876827",0,"0,012526096",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0041753653",0,0,0,0,0,"0,0334029228","0,0020876827","0,0020876827",0,0,"0,0083507307","0,0020876827",0,"0,0041753653",0,0,0,0,0,"0,006263048",0,"0,0020876827","0,0020876827",0,0,"0,0041753653",0,"0,0020876827",0,"0,012526096",0,0,"0,0041753653",0,0,"0,012526096","0,0083507307",0
