5,0.643,ENMETABO,Temperature,0.0909360883218402 - 0.00019846740376599*Temperature
23,0.968,FATTYACIDMETABO,Temperature,0.0113498543328646 + 0.0467034271301084*Age/Temperature + -0.167618337204074*Age^2/Temperature^2 - 0.000331001950275331*Age
11,0.436,REGULFUN,Temperature,0.0605635711162317 + 8.97460331305423e-5*Temperature + 0.000154598498005023*Age^2
7,0.520,REPLICATION,Temperature,0.0564101016510812 + 4.32673875850713e-5*Temperature*Age
9,0.429,REPLICATION,Temperature,0.0576407564112953 + 8.29345119601456e-6*Temperature*Age^2
11,0.305,REPLICATION,Temperature,0.0583330052803348 + 5.763191347552e-5*Temperature*Age - 0.000120769286264775*Temperature
15,0.300,REPLICATION,Temperature,0.0583560195812729 + 5.65911215235471e-6*Temperature + 1.65360445993278e-6*Temperature*Age^3
21,0.298,REPLICATION,Temperature,0.0583871368895077 + 1.50909515007789e-10*Temperature^4 + 1.67362857643978e-6*Temperature*Age^3
23,0.298,REPLICATION,Temperature,0.0583428397146266 + 1.4118864880511e-5*Temperature + 2.74869472025187e-7*Temperature^2 + 3.52090941800008e-7*Temperature*Age^4
25,0.293,REPLICATION,Temperature,0.0587750041384154 + 3.21135566603094e-7*Temperature*Age^4 + 1.86460707952633e-7*Age*Temperature^2 - 6.70348868408754e-6*Temperature
9,0.631,TRANSCRIPTION,Temperature,0.0164373276802006 + 1.78568871476732e-6*Temperature*Age^2
9,0.836,TRANSLATION,Temperature,0.0835417803259457 - 1.81807756739102e-5*Temperature - 0.000450516140363528*Age
27,0.988,TRANSPORTPROTEINS,Temperature,0.144059497190044 + 3.10407763720455e-8*Temperature^3*Age^2 - 3.76115195808588e-7*Temperature^3 - 0.00082498278739471*Age^2
29,0.656,TRANSPORTPROTEINS,Temperature,0.135713079607255 + 1.60461345393682e-5*Age*Temperature^2 - 4.40977315509263e-5*Temperature - 9.2562251221253e-7*Temperature^3 - 6.90404218345927e-5*Temperature*Age^2
3,0.873,UFA,Age,14.2606509795336-Age
4,0.344,UFA,Age,28.5087160711175/Age
5,0.326,UFA,Age,31.7514045652623-7.02742620229595*Age
7,0.241,UFA,Age,31.2346570737978-0.245060684108892*Temperature*Age
9,0.181,UFA,Age,42.6365469523185-0.378267976621552*Temperature-6.96049419115447*Age
15,0.114,UFA,Age,49.6207918211259+0.770975317649209*Age^2-0.411613250492857*Temperature-11.5076748319494*Age
17,0.103,UFA,Age,66.2768301869279+0.0375726996854409*Temperature*Age^2-0.876148077860912*Temperature-13.56374091057*Age
3,0.707,SFA,Age,53.467985161923+Age
5,0.452,SFA,Age,50.8787542775707+2*Age
7,0.319,SFA,Age,52.6179424723523+0.421549588581545*Age^2
13,0.315,SFA,Age,54.1526433384799+0.000925134786374107*Temperature*Age^4
17,0.232,SFA,Age,74.8298616470885+0.0623168363475957*Temperature*Age^2-0.513319572038929*Temperature-6.68869130975878*Age
3,0.801,CFA,Age,29.4742397868231+Age
5,0.561,CFA,Age,16.8613505567308+4.48242185500323*Age
6,0.348,CFA,Age,39.4387104347617+-20.6390568550958/Age
8,0.291,CFA,Age,41.6240019849887+-708.813416588107/(Temperature*Age)
17,0.216,CFA,Age,20.4516438366872*Age+1.45501555953041*Temperature-42.5405303961782-0.103443869384632*Temperature*Age^2
5,0.955,CFAdivSFA,Age,0.371206886422567+0.0546309543046317*Age
6,0.870,CFAdivSFA,Age,0.693360066578432+-0.355834808700655/Age
9,0.624,CFAdivSFA,Age,0.397925320270402*Age-0.0651753606580424*Age^2
