date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
36066.00,189.7,7.72,5.83,194.22,7.11,5.37,4.52,-0.61,-0.46,19.9,33,81.71,101.4
36073.00,194.22,7.11,5.37,203.3,6.97,5.92,9.08,-0.14,0.55,18.7,12.5,82.71,82.6
36080.00,203.3,6.97,5.92,222.9,6.66,4.83,19.6,-0.31,-1.09,19.3,11,82.21,98.15
36052.00,160.4,8.77,6.26,185.1,7.52,5.9,24.7,-1.25,-0.36,54.8,4,73.57,109.3
36059.00,185.1,7.52,5.9,193.1,6.55,4.61,8,-0.97,-1.29,45.7,43.5,74.57,118.75
36066.00,193.1,6.55,4.61,199.94,6.28,4.06,6.84,-0.27,-0.55,19.9,33,81.71,101.4
36073.00,199.94,6.28,4.06,204.5,6.13,5.29,4.56,-0.15,1.23,18.7,12.5,82.71,82.6
36080.00,204.5,6.13,5.29,228.7,5.94,5.11,24.2,-0.19,-0.18,19.3,11,82.21,98.15
36052.00,173.7,8.68,6.19,193.1,7.51,5.3,19.4,-1.17,-0.89,54.8,4,73.57,109.3
36059.00,193.1,7.51,5.3,200,6.53,4.84,6.9,-0.98,-0.46,45.7,43.5,74.57,118.75
36066.00,200,6.53,4.84,201.96,6.1,4.16,1.96,-0.43,-0.68,19.9,33,81.71,101.4
36073.00,201.96,6.1,4.16,207.9,6.16,5.09,5.94,0.06,0.93,18.7,12.5,82.71,82.6
36080.00,207.9,6.16,5.09,234.6,5.85,3.91,26.7,-0.31,-1.18,19.3,11,82.21,98.15
36402.00,144.8,11.15,9.81,180.5,7.85,6.54,35.7,-3.3,-3.27,72.6,0,65.21,142.9
36409.00,180.5,7.85,6.54,196.5,5.9,4.04,16,-1.95,-2.5,56.5,47.5,69.64,146.65
36416.00,196.5,5.9,4.04,196.5,5.45,3.98,0,-0.45,-0.06,29.7,28,78.29,111.25
36423.00,196.5,5.45,3.98,194.2,5.2,3.68,-2.3,-0.25,-0.3,28.6,43.5,82.71,125.4
36423.00,225.2,4.86,2.84,227.6,4.52,2.67,2.4,-0.34,-0.17,28.6,43.5,82.71,125.4
36430.00,227.6,4.52,2.67,235.8,4.11,2.21,8.2,-0.41,-0.46,27,70,85.21,112.45
36437.00,235.8,4.11,2.21,246.4,4.46,2.82,10.6,0.35,0.61,43,0.5,78.79,82.65
36445.00,246.4,4.46,2.82,227.6,4.64,2.61,-18.8,0.18,-0.21,19.8,13,90.79,91.15
36451.00,227.6,4.64,2.61,244,4.35,2.74,16.4,-0.29,0.13,26.8,66.5,88.43,86
36423.00,196.5,6.12,5.18,196.5,5.51,4.46,0,-0.61,-0.72,28.6,43.5,82.71,125.4
36430.00,196.5,5.51,4.46,207.9,5.23,3.69,11.4,-0.28,-0.77,27,70,85.21,112.45
36437.00,207.9,5.23,3.69,218.3,5.35,4.38,10.4,0.12,0.69,43,0.5,78.79,82.65
36445.00,218.3,5.35,4.38,214.8,6.02,4.47,-3.5,0.67,0.09,19.8,13,90.79,91.15
36451.00,214.8,6.02,4.47,217.2,5.13,4.5,2.4,-0.89,0.03,26.8,66.5,88.43,86
36423.00,195.3,4.94,3.16,190.8,4.32,2.67,-4.5,-0.62,-0.49,28.6,43.5,82.71,125.4
36430.00,190.8,4.32,2.67,214.8,4.06,2.77,24,-0.26,0.1,27,70,85.21,112.45
36437.00,214.8,4.06,2.77,227.6,4.43,3.24,12.8,0.37,0.47,43,0.5,78.79,82.65
36445.00,227.6,4.43,3.24,225.2,5.36,3.54,-2.4,0.93,0.3,19.8,13,90.79,91.15
36451.00,225.2,5.36,3.54,212.5,4.24,3.12,-12.7,-1.12,-0.42,26.8,66.5,88.43,86
36423.00,209.1,4.83,3.12,214.8,4.6,2.85,5.7,-0.23,-0.27,28.6,43.5,82.71,125.4
36430.00,214.8,4.6,2.85,224.1,4.1,2.06,9.3,-0.5,-0.79,27,70,85.21,112.45
36437.00,224.1,4.1,2.06,238.2,4.05,2.51,14.1,-0.05,0.45,43,0.5,78.79,82.65
36444.00,238.2,4.05,2.51,240.3,4.39,2.42,2.1,0.34,-0.09,17.7,13,91.71,99.15
36451.00,240.3,4.39,2.42,226.4,4.15,2.74,-13.9,-0.24,0.32,26.8,66.5,88.43,86
36794.00,181.7,7.64,6.44,180.5,7.64,6.74,-1.2,0,0.3,38.7,38,78,110.45
36801.00,180.5,7.64,6.74,198.8,6.82,4.84,18.3,-0.82,-1.9,30.4,6.5,77.86,93.4
36773.00,157,10.84,10.3,187.4,8.2,7.2,30.4,-2.64,-3.1,64,0,68.79,129.7
36780.00,187.4,8.2,7.2,196.5,6.81,5.8,9.1,-1.39,-1.4,40.5,3,71.5,128.75
36787.00,196.5,6.81,5.8,210.3,5.73,4.86,13.8,-1.08,-0.94,31.2,39,77,119.2
36794.00,210.3,5.73,4.86,224.1,5.21,3.76,13.8,-0.52,-1.1,38.7,38,78,110.45
36801.00,224.1,5.21,3.76,231.1,5.32,3.83,7,0.11,0.07,30.4,6.5,77.86,93.4
36773.00,128.4,13.52,13.4,160.4,10.01,9.5,32,-3.51,-3.9,64,0,68.79,129.7
36780.00,160.4,10.01,9.5,179.4,7.95,7,19,-2.06,-2.5,40.5,3,71.5,128.75
36787.00,179.4,7.95,7,186.3,6.97,5.96,6.9,-0.98,-1.04,31.2,39,77,119.2
36794.00,186.3,6.97,5.96,188.6,6.97,5.84,2.3,0,-0.12,38.7,38,78,110.45
36801.00,188.6,6.97,5.84,198.8,6.96,5.32,10.2,-0.01,-0.52,30.4,6.5,77.86,93.4
36773.00,140.4,11.61,11.3,174.9,8.36,8,34.5,-3.25,-3.3,64,0,68.79,129.7
36780.00,174.9,8.36,8,180.5,7.17,6.6,5.6,-1.19,-1.4,40.5,3,71.5,128.75
