5,0.795,UFClyo,67050750859.4448*Anisotropie-101.152200128141
7,0.590,UFClyo,15643954583.1687-181207801.885369*Age*UFA
1,1.000,TpH07lyo,497.292627878182
3,0.560,TpH07lyo,14.2498103262867*tpH07scong
5,0.495,TpH07lyo,412.75006169821+395.158658066958*UFAdivSFA
7,0.400,TpH07lyo,648.259404773546-63.8816778029957*Age*dUFCcong
9,0.297,TpH07lyo,477.114232356697+379.827432923798*UFAdivSFA-80.3165277399795*dUFCcong
11,0.253,TpH07lyo,677.351379674585-0.002235248009008*dUFCcong*CFA*SFA^2
1,1.000,tpH07slyo,49.9843138778902
3,0.501,tpH07slyo,36.6976811781245+UFA
5,0.466,tpH07slyo,40.4002189518095+41.44601402404*UFAdivSFA
9,0.202,tpH07slyo,35.0894609960103+514860512.970468*tpH07spe2cong+37.3221046631054*UFAdivSFA
15,0.189,tpH07slyo,34.9849812547843+486977251.126251*tpH07spe2cong+34.9849812547843*UFAdivSFA+486977251.126251*Anisotropie*tpH07spe2cong
1,1.000,tpH07spe2lyo,4.7614291410344e-8
3,0.837,tpH07spe2lyo,1.47229203862864e-9*tpH07scong
5,0.722,tpH07spe2lyo,5.71914852684655e-8-2.98258941113387e-9*CFAdivUFA
9,0.687,tpH07spe2lyo,1.22737538494217e-7+1.82230254996386*tpH07spe2centri-5.09310010075096e-7*Anisotropie
13,0.604,tpH07spe2lyo,1.07941713983989e-7+3.32114829454897e-10*dtpH07cong-1.88663437869342e-9*CFAdivUFA-3.19474796193312e-7*Anisotropie
15,0.535,tpH07spe2lyo,1.22155316425899e-7+tpH07spe2centri+3.53382749595695e-10*dtpH07cong-9.76744403740814e-10*CFAdivUFA-4.30353413305588e-7*Anisotropie
17,0.534,tpH07spe2lyo,1.12875283687429e-7+4.5631382487284e-10*dtpH07cong+1.27869263798744e-10*tpH07scong-1.96581159917308e-9*CFAdivUFA-3.65546967682055e-7*Anisotropie
1,1.000,dtUFClyo,1.23833333333333
3,0.738,dtUFClyo,0.809531250000001+CFAdivSFA
7,0.716,dtUFClyo,1.43026347931909-2.6445716639312*UFAdivSFA^2
9,0.429,dtUFClyo,2.28628680295789-0.107527390927353*CFAdivUFA-2.79172328021562*UFAdivSFA
1,1.000,dtpH07lyo,112.666666666667
3,0.446,dtpH07lyo,7.91249697469685*UFA
5,0.411,dtpH07lyo,36.5841320030355+5.76892746400754*UFA
9,0.319,dtpH07lyo,571.37624269003*UFAdivSFA+40.9458652019573*Age-136.435846255982
1,1.000,dtpH07slyo,15.5
3,0.541,dtpH07slyo,19.6961777358635-CFAdivUFA
5,0.499,dtpH07slyo,19.9283383939875-1.15688487719488*CFAdivUFA
7,0.351,dtpH07slyo,26.2586711001717-0.142185080619009*Temperature*Age
28,0.318,dtpH07slyo,57.5244012033273+-123.166869266647/UFA+9956.4500846017*UFAdivSFA^2*Anisotropie^2-0.0700693716491709*CFA-7940.16833674259*UFAdivSFA*Anisotropie^2
1,1.000,dtpH07spe2lyo,-4.49819900569245e-8
5,0.740,dtpH07spe2lyo,5.05140740223795e-7*Anisotropie-1.25102543041755e-7
10,0.727,dtpH07spe2lyo,2.68908351570748e-8+1.91199972165731e-8*Anisotropie+-1.17654433757699e-8/Anisotropie
