NumCDS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
50;292.900659;235.6486087;266;340.5341898;266.431679;198.4891255;197.908938;220.7796375;343.6169416;188.6694867;255.2387237;229.2414159;288.9822905;216.7673675;186.7407291;309.8640075;343.4288126;250.046411
51;737.8971249;614.0139805;529;844.7727171;727.5835635;353.6300511;411.468838;436.8331054;796.207031;327.1337033;537.1054059;358.0629195;693.0510045;411.2848963;264.3523824;702.1664967;831.1442705;494.6648969
52;164.3830229;126.9515392;124;211.4666275;162.7902793;73.00749443;86.33272551;78.31938211;188.9453771;60.43819152;133.7892547;82.66891768;172.4889426;73.49189131;50.82184401;166.4472202;173.210466;99.15009639
53;218.8452769;201.2140409;146;281.8339708;225.6032488;67.53193234;97.43985979;95.87372638;259.8365109;61.0777491;172.7569988;111.5776803;217.2291415;89.67359214;57.12532853;278.9822905;236.3774305;147.2776979
54;167.0397182;168.4389703;158;265.0624797;218.275069;176.5868771;173.6751905;178.9192781;186.6018686;147.0982439;201.9828068;210.98325;207.38067;161.1427708;138.6766596;196.0203899;194.1553016;174.0554612
55;1342.959484;1198.986759;1320;1639.230961;1679.723493;933.1270381;1044.575492;1179.516901;1292.152029;981.0813311;1156.367806;1161.422218;1249.067563;1124.965327;697.7169437;1104.152236;1282.621838;1108.382282
56;44.4996466;37.33868801;20;18.22988168;42.92219583;7.300749443;9.087655317;18.90467844;72.06288802;3.837345493;28.25161446;11.6649393;19.13417308;8.765087954;5.515548962;56.79095407;23.93695499;17.00749829
57;58.44729702;41.07255681;28;25.52183435;50.77381702;11.407421;8.077915838;23.63084805;95.79091212;8.95380615;48.7096801;20.28685096;25.88741064;15.17034454;9.455226792;98.6644686;38.89755186;31.48196491
58;752.1768623;558.4208228;270;342.357178;550.660366;67.0756355;97.43985979;206.6011287;1092.074986;82.18314931;550.7441163;128.8215036;337.6618779;110.9120745;66.18658754;1008.104862;457.7942642;297.8121508
59;2209.706332;1373.648844;824;1213.016327;1380.838446;155.5972225;206.9965933;340.2842119;2530.403361;151.575147;1214.169959;299.738223;1037.184735;248.1194128;147.3439508;2340.991171;1442.201538;524.3375535
60;218.8452769;238.5527289;266;302.9806336;327.6743243;278.3410725;294.3390583;372.6922321;224.390944;295.1558242;301.6752854;311.4031623;216.1036019;274.7517955;287.5964816;238.6790328;207.1211522;329.2941157
61;185.3044985;177.9810795;225;265.0624797;272.1895345;220.3913738;230.2206014;274.7930045;201.5417356;215.5309052;227.9613029;264.2362338;181.7746443;264.9753512;229.6832175;209.8909916;196.4825056;291.2986408
62;193.2745845;180.8851997;228;248.6555861;231.3611044;208.9839528;183.7725853;209.301797;192.1677014;186.1112564;184.7720532;209.9689075;180.6491047;195.8660039;193.8321492;186.3371396;197.4798787;182.7401412
63;291.5723113;282.9442802;377;413.0891189;336.5728283;281.5351504;273.1345293;258.5889944;307.8784362;275.3295391;292.907543;314.9533612;314.0255465;291.6077338;267.8980924;328.1836701;328.8006734;273.2055576
64;219.5094508;210.3412758;242;304.4390241;240.7830498;187.0817045;169.1313629;184.9957819;170.7831858;224.1649326;165.6129123;213.5191064;179.2421802;188.449391;161.526791;181.8880787;184.8464858;216.7551377
65;52.13764564;52.68903752;50;67.08596459;46.06284431;41.06671561;39.88470945;29.70735184;46.28429393;43.48991559;36.04516327;37.53067428;40.23804045;39.10577702;31.12345486;40.04154826;38.56509415;43.42339988
66;67.41364373;63.47576961;69;102.4519351;66.4770594;43.34819982;33.82627257;33.08318727;50.67837247;39.97234889;44.48817449;40.06653065;52.05620618;43.15120223;40.18471386;49.98650796;53.19323332;40.89036822
67;102.2827698;94.17646864;82;110.8376806;70.14114928;48.36746506;34.33114231;33.08318727;52.14306531;43.80969438;47.4107553;48.18127104;74.00422825;37.42018319;40.18471386;60.19317713;71.14594956;50.29877153
68;398.5042979;289.9971435;299;486.7378409;175.8763146;142.3646141;124.7028257;78.9945492;202.1276127;143.2608984;143.5311907;123.2426196;227.3589978;98.4386801;100.0678169;219.3125323;240.0344653;112.538978
69;245.0801432;348.9092957;324;173.5484736;131.907236;305.7188829;341.2919441;148.5367592;137.9740661;235.0374114;309.144103;275.9011731;300.5190714;261.2670448;282.8688682;218.5274039;234.0502266;169.3512595
70;1681.35605;1591.457858;1278;1753.35002;1038.507763;1281.281527;1423.732666;843.2836919;1193.138792;1314.61061;1319.058137;1352.118617;1782.854716;1125.976683;1031.407656;1451.702407;1672.927188;900.6736858
71;466.2500285;813.9833985;892;698.9336637;891.944167;1104.69465;917.3483173;1067.439165;559.2197286;1216.7583;743.6344495;958.0465368;621.5792403;971.9134066;1027.467978;494.8925998;629.0099839;952.7817657
72;0.996260745;2.489245867;5;2.916781069;3.664089888;1.825187361;4.543827659;4.72616961;1.757631415;6.075797031;2.597849605;5.578884015;2.251079186;3.034068907;3.545710047;1.308547329;1.329830833;3.256754991
73;726.9382567;903.5962497;1203;858.2628296;1866.068636;1835.225891;1568.630282;2425.875344;788.5906282;1674.041971;1332.372116;1773.577946;754.9556821;1640.757041;1926.896427;757.9106129;712.4568687;2083.961332
74;449.9777697;506.5615339;574;548.354841;860.0142408;820.4217186;767.4020046;945.9090891;444.9736866;786.3360473;625.7570237;900.7361828;505.9300471;804.0282604;815.9072786;443.335835;497.0242738;821.7878427
75;82.3575549;95.83596588;128;140.370089;145.5167127;168.373534;110.566473;139.08442;108.094332;128.8708528;143.8559219;155.7015811;127.7487438;111.586312;112.6747859;104.4220768;117.357571;137.8692946
76;0.332086915;1.659497245;1;0.729195267;1.046882825;2.281484201;0.50486974;1.350334174;0.292938569;2.558230329;0.324731201;3.043027645;2.251079186;2.359831372;1.575871132;1.046837863;0;0.723723331
77;1.32834766;2.074371556;3;1.458390535;3.664089888;7.757046283;4.038957919;5.401336697;1.464692846;4.476903075;3.247312007;4.564541467;2.813848983;4.382543977;4.727613396;2.617094658;2.659661666;1.809308328
78;10.95886819;15.76522382;13;7.656550306;15.17980096;12.32001468;15.1460922;9.452339221;9.666972783;14.70982439;16.56129123;21.30119351;13.22509022;13.4847507;18.5164858;8.112993439;7.646527289;17.73122162
79;0.66417383;1.244622934;0;0.729195267;0;1.36889052;0.50486974;0;0.878815708;0;0;1.014342548;1.125539593;0.674237535;0;0.261709466;0.997373125;0.723723331
80;2.988782234;0.829748622;1;2.552183435;1.570324238;2.737781041;3.029218439;0;0.585877138;3.517566702;0.324731201;4.057370193;3.939388576;1.685593837;1.181903349;0.785128397;1.329830833;1.447446663
81;0.66417383;0.829748622;1;1.458390535;1.046882825;1.825187361;2.524348699;1.350334174;0;1.279115164;0.324731201;2.028685096;0.844154695;2.022712605;2.363806698;0;0.664915416;0
